START   *
ADD	1b
ADDF	5b
ADDR	93
AND	43 
CLEAR 	b7
COMP 	2b
COMPF 	8b
COMPR 	a3
DIV 	27
DIVF 	67
DIVR 	9f
FIX 	c7
FLOAT 	c3
HIO 	f7
J 	3f 
JEQ 	33
JGT 	37 
JLT 	3b
JSUB 	4b
LDA 	03
LDB	6b
LDCH 	53
LDF 	73
LDL 	0b
LDS 	6f 
LDT 	77 
LDX 	07
LPS 	d3
MUL 	23
MULF 	63
MULR 	9b
NORM 	cb 
OR 	47
RD 	db
RMO 	af
RSUB 	4f
SHIFTL 	a7
SHIFTR  ab
SIO 	f3
SSK 	ef
STA 	0f
STB 	7b
STCH 	57
STF 	83
STI 	d7
STL 	17
STS 	7f
STSW 	eb
STT 	87
STX 	13
SUB 	1f
SUBF 	5f
SUBR 	97
SVC 	b3
TD 	e3
TIO 	fb
TIX 	2f
TIXR 	bb
WD 	df
END *
